,0,1,2,3,Type
santada01,0.0,1.0,0.0,0.0,1
santado01,0.0,0.0,1.0,0.0,2
sardilu01,0.0,1.0,0.0,0.0,1
saundmi01,0.0,0.0,1.0,0.0,2
schebsc01,0.0,0.043,0.957,0.0,2
schimry01,1.0,0.0,0.0,0.0,0
schoojo01,0.0,0.0,1.0,0.0,2
seageco01,0.001,0.0,0.999,0.0,2
seageky01,0.005,0.0,0.995,0.0,2
segurje01,0.999,0.001,0.0,0.0,0
semiema01,0.0,0.0,1.0,0.0,2
shawtr01,0.0,0.001,0.999,0.0,2
shuckja01,0.0,0.008,0.0,0.992,3
simmoan01,0.0,0.025,0.975,0.0,2
smithma05,0.0,1.0,0.0,0.0,1
smithse01,0.0,0.0,1.0,0.0,2
smoakju01,0.0,0.0,1.0,0.0,2
smolija01,0.0,0.03,0.97,0.0,2
solarya01,0.0,0.0,1.0,0.0,2
solerjo01,0.003,0.0,0.997,0.0,2
sotoge01,1.0,0.0,0.0,0.0,0
souzast01,0.0,0.096,0.904,0.0,2
spande01,0.0,0.996,0.004,0.0,1
springe01,0.0,0.0,1.0,0.0,2
stantmi03,0.002,0.0,0.998,0.0,2
stewach01,0.0,1.0,0.0,0.0,1
storytr01,0.0,0.0,1.0,0.0,2
stubbdr01,0.0,1.0,0.0,0.0,1
suareeu01,0.0,0.001,0.999,0.0,2
suzukic01,0.004,0.996,0.0,0.0,1
suzukku01,0.0,0.018,0.981,0.0,2
swansda01,1.0,0.0,0.0,0.0,0
szczuma01,0.0,1.0,0.0,0.0,1
taylomi02,0.0,1.0,0.0,0.0,1
teixema01,0.0,0.001,0.999,0.0,2
tholejo01,0.0,0.002,0.0,0.998,3
thomptr01,0.0,0.0,0.999,0.0,2
tolesan01,0.0,0.0,1.0,0.0,2
tomasya01,0.0,0.0,1.0,0.0,2
tomlike01,0.0,1.0,0.0,0.0,1
torrero01,0.0,1.0,0.0,0.0,1
travide01,0.0,0.0,1.0,0.0,2
troutmi01,1.0,0.0,0.0,0.0,0
trumbma01,0.0,0.0,1.0,0.0,2
tuckepr01,0.0,0.998,0.002,0.0,1
tulowtr01,0.0,0.0,1.0,0.0,2
turneju01,0.004,0.0,0.996,0.0,2
turnetr01,0.999,0.001,0.0,0.0,0
uptonju01,0.0,0.0,1.0,0.0,2
uptonbj01,0.0,1.0,0.0,0.0,1
uribeju01,0.0,0.021,0.979,0.0,2
utleych01,0.0,0.088,0.912,0.0,2
valbulu01,0.991,0.0,0.009,0.0,0
valenda01,0.0,0.0,1.0,0.0,2
vanslsc01,0.0,1.0,0.0,0.0,1
vargake01,0.047,0.0,0.953,0.0,2
vazquch01,0.0,0.941,0.059,0.0,1
villajo01,0.0,1.0,0.0,0.0,1
vogtst01,0.0,0.002,0.998,0.0,2
vottojo01,1.0,0.0,0.0,0.0,0
walkene01,0.0,0.0,1.0,0.0,2
wallabr01,0.007,0.993,0.0,0.0,1
weeksri01,0.0,0.002,0.998,0.0,2
wendljo01,0.0,0.994,0.006,0.0,1
werthja01,0.0,0.0,0.999,0.0,2
whitety01,0.0,0.003,0.997,0.0,2
wietema01,0.0,0.0,1.0,0.0,2
willima11,0.0,0.0,1.0,0.0,2
wilsobo02,0.0,1.0,0.0,0.0,1
wolteto01,1.0,0.0,0.0,0.0,0
wongko01,0.0,1.0,0.0,0.0,1
wrighda03,0.0,0.0,1.0,0.0,2
yelicch01,0.0,0.0,1.0,0.0,2
youngch04,0.002,0.0,0.998,0.0,2
zimmery01,0.0,0.059,0.941,0.0,2
zobribe01,0.989,0.0,0.011,0.0,0
zuninmi01,1.0,0.0,0.0,0.0,0
LgAvg per 600 PA,0.0,0.0,0.0,1.0,3
